sl.no,payload_length,Cumulative_RTT 
0,100,568 
1,200,211 
2,300,227 
3,400,300 
4,500,248 
5,600,225 
6,700,252 
7,800,287 
8,900,240 
9,1000,232 
10,100,245 
11,200,227 
12,300,225 
13,400,243 
14,500,325 
15,600,259 
16,700,361 
17,800,249 
18,900,272 
19,1000,240 
20,100,284 
21,200,233 
22,300,264 
23,400,232 
24,500,267 
25,600,289 
26,700,247 
27,800,240 
28,900,295 
29,1000,233 
30,100,277 
31,200,1374 
32,300,573 
33,400,434 
34,500,485 
35,600,427 
36,700,325 
37,800,467 
38,900,331 
39,1000,1145 
40,100,464 
41,200,336 
42,300,381 
43,400,2252 
44,500,3808 
45,600,1203 
46,700,2796 
47,800,3927 
48,900,410 
49,1000,309 
